,Unnamed: 0,content,final_text,token,stop_review,stem_review,prepos_text,polarity_score,polarity
0,0, ppn  untuk meningkatkan kualitas layanan transportasi ,ppn untuk meningkatkan kualitas layanan transportasi,"['ppn', 'meningkatkan', 'kualitas', 'layanan', 'transportasi']","['ppn', 'meningkatkan', 'kualitas', 'layanan', 'transportasi']",ppn tingkat kualitas layan transportasi,"['ppn', 'tingkat', 'kualitas', 'layan', 'transportasi']",5,1
1,1, ppn  untuk mendanai program keberlanjutan ,ppn untuk mendanai program keberlanjutan,"['ppn', 'mendanai', 'program', 'keberlanjutan']","['ppn', 'mendanai', 'program', 'keberlanjutan']",ppn dana program lanjut,"['ppn', 'dana', 'program', 'lanjut']",1,1
2,2, ppn  akan mendukung pengembangan kota  indonesia ,ppn akan mendukung pengembangan kota indonesia,"['ppn', 'mendukung', 'pengembangan', 'kota', 'indonesia']","['ppn', 'mendukung', 'pengembangan', 'kota', 'indonesia']",ppn dukung kembang kota indonesia,"['ppn', 'dukung', 'kembang', 'kota', 'indonesia']",6,1
3,3,harganya naek gara  ppn  sih,harganya naek gara ppn sih,"['harganya', 'naek', 'gara', 'ppn', 'sih']","['harganya', 'naek', 'gara', 'ppn', 'sih']",harga naek gara ppn sih,"['harga', 'naek', 'gara', 'ppn', 'sih']",-1,0
4,4,jokowi ikut tertuduh soal kenaikan ppn   akui harus dukung amanat dari undang ,jokowi ikut tertuduh soal kenaikan ppn akui harus dukung amanat dari undang,"['jokowi', 'tertuduh', 'kenaikan', 'ppn', 'akui', 'dukung', 'amanat', 'undang']","['jokowi', 'tertuduh', 'kenaikan', 'ppn', 'akui', 'dukung', 'amanat', 'undang']",jokowi tuduh naik ppn aku dukung amanat undang,"['jokowi', 'tuduh', 'naik', 'ppn', 'aku', 'dukung', 'amanat', 'undang']",8,1
5,5, ppn  adalah langkah positif untuk memperbaiki kualitas hidup rakyat ,ppn adalah langkah positif untuk memperbaiki kualitas hidup rakyat,"['ppn', 'langkah', 'positif', 'memperbaiki', 'kualitas', 'hidup', 'rakyat']","['ppn', 'langkah', 'positif', 'memperbaiki', 'kualitas', 'hidup', 'rakyat']",ppn langkah positif baik kualitas hidup rakyat,"['ppn', 'langkah', 'positif', 'baik', 'kualitas', 'hidup', 'rakyat']",12,1
6,7, ppn  mendukung pemberdayaan masyarakat lokal ,ppn mendukung pemberdayaan masyarakat lokal,"['ppn', 'mendukung', 'pemberdayaan', 'masyarakat', 'lokal']","['ppn', 'mendukung', 'pemberdayaan', 'masyarakat', 'lokal']",ppn dukung daya masyarakat lokal,"['ppn', 'dukung', 'daya', 'masyarakat', 'lokal']",4,1
7,8, dengan ppn  kita dorong pertumbuhan ekonomi yang lebih berkelanjutan ,dengan ppn kita dorong pertumbuhan ekonomi yang lebih berkelanjutan,"['ppn', 'dorong', 'pertumbuhan', 'ekonomi', 'berkelanjutan']","['ppn', 'dorong', 'pertumbuhan', 'ekonomi', 'berkelanjutan']",ppn dorong tumbuh ekonomi lanjut,"['ppn', 'dorong', 'tumbuh', 'ekonomi', 'lanjut']",-3,0
8,9,mahasiswa bersuara tolak ppn   via ,mahasiswa bersuara tolak ppn melalui,"['mahasiswa', 'bersuara', 'tolak', 'ppn']","['mahasiswa', 'bersuara', 'tolak', 'ppn']",mahasiswa suara tolak ppn,"['mahasiswa', 'suara', 'tolak', 'ppn']",-3,0
9,10, ppn  memperkuat negara dalam menghadapi perubahan ekonomi global ,ppn memperkuat negara dalam menghadapi perubahan ekonomi global,"['ppn', 'memperkuat', 'negara', 'menghadapi', 'perubahan', 'ekonomi', 'global']","['ppn', 'memperkuat', 'negara', 'menghadapi', 'perubahan', 'ekonomi', 'global']",ppn kuat negara hadap ubah ekonomi global,"['ppn', 'kuat', 'negara', 'hadap', 'ubah', 'ekonomi', 'global']",-1,0
10,12, ppn  adalah langkah menuju pengelolaan negara yang lebih maju ,ppn adalah langkah menuju pengelolaan negara yang lebih maju,"['ppn', 'langkah', 'pengelolaan', 'negara', 'maju']","['ppn', 'langkah', 'pengelolaan', 'negara', 'maju']",ppn langkah kelola negara maju,"['ppn', 'langkah', 'kelola', 'negara', 'maju']",4,1
11,13,kabinet gemuk inefisien koruptor disuruh tobat nggak mau ngeluarin perpu ppn  ,kabinet gemuk inefisien koruptor disuruh tobat tidak mau ngeluarin perpu ppn,"['kabinet', 'gemuk', 'inefisien', 'koruptor', 'disuruh', 'tobat', 'ngeluarin', 'perpu', 'ppn']","['kabinet', 'gemuk', 'inefisien', 'koruptor', 'disuruh', 'tobat', 'ngeluarin', 'perpu', 'ppn']",kabinet gemuk inefisien koruptor suruh tobat ngeluarin perpu ppn,"['kabinet', 'gemuk', 'inefisien', 'koruptor', 'suruh', 'tobat', 'ngeluarin', 'perpu', 'ppn']",-10,0
12,14, dengan ppn  kita lebih siap untuk menghadapi tantangan ekonomi global ,dengan ppn kita lebih siap untuk menghadapi tantangan ekonomi global,"['ppn', 'menghadapi', 'tantangan', 'ekonomi', 'global']","['ppn', 'menghadapi', 'tantangan', 'ekonomi', 'global']",ppn hadap tantang ekonomi global,"['ppn', 'hadap', 'tantang', 'ekonomi', 'global']",-4,0
13,15, pembangunan lebih merata dengan kenaikan ppn  ,pembangunan lebih merata dengan kenaikan ppn,"['pembangunan', 'merata', 'kenaikan', 'ppn']","['pembangunan', 'merata', 'kenaikan', 'ppn']",bangun rata naik ppn,"['bangun', 'rata', 'naik', 'ppn']",-2,0
14,16, padahal dia bisa membatalkan ppn  bekerja keras bukan berarti bekerja pintar ,padahal dia bisa membatalkan ppn bekerja keras bukan berarti bekerja pintar,"['membatalkan', 'ppn', 'keras', 'pintar']","['membatalkan', 'ppn', 'keras', 'pintar']",batal ppn keras pintar,"['batal', 'ppn', 'keras', 'pintar']",-5,0
15,17, ppn  juga dibebankan kastamer bjirr  resto toko atau apalah   beli itu ppn nya   dibebankan kastamer mereka mah emang gak kesentuh pajak padahal keuntungan bersih gede,ppn juga dibebankan kastamer bjirr resto toko atau apalah beli itu ppn nya dibebankan kastamer mereka mah memang tidak kesentuh pajak padahal keuntungan bersih gede,"['ppn', 'dibebankan', 'kastamer', 'bjirr', 'resto', 'toko', 'apalah', 'beli', 'ppn', 'nya', 'dibebankan', 'kastamer', 'mah', 'kesentuh', 'pajak', 'keuntungan', 'bersih', 'gede']","['ppn', 'dibebankan', 'kastamer', 'bjirr', 'resto', 'toko', 'apalah', 'beli', 'ppn', 'nya', 'dibebankan', 'kastamer', 'mah', 'kesentuh', 'pajak', 'keuntungan', 'bersih', 'gede']",ppn beban kastamer bjirr resto toko apa beli ppn nya beban kastamer mah sentuh pajak untung bersih gede,"['ppn', 'beban', 'kastamer', 'bjirr', 'resto', 'toko', 'apa', 'beli', 'ppn', 'nya', 'beban', 'kastamer', 'mah', 'sentuh', 'pajak', 'untung', 'bersih', 'gede']",-16,0
16,18, kenaikan ppn  untuk mendanai program sosial ,kenaikan ppn untuk mendanai program sosial,"['kenaikan', 'ppn', 'mendanai', 'program', 'sosial']","['kenaikan', 'ppn', 'mendanai', 'program', 'sosial']",naik ppn dana program sosial,"['naik', 'ppn', 'dana', 'program', 'sosial']",9,1
17,19, pantesan ppn dikebut  ,pantesan ppn dikebut,"['pantesan', 'ppn', 'dikebut']","['pantesan', 'ppn', 'dikebut']",pantesan ppn kebut,"['pantesan', 'ppn', 'kebut']",-2,0
18,20, ppn  membuka peluang untuk peningkatan sektor perumahan rakyat ,ppn membuka peluang untuk peningkatan sektor perumahan rakyat,"['ppn', 'membuka', 'peluang', 'peningkatan', 'sektor', 'perumahan', 'rakyat']","['ppn', 'membuka', 'peluang', 'peningkatan', 'sektor', 'perumahan', 'rakyat']",ppn buka peluang tingkat sektor rumah rakyat,"['ppn', 'buka', 'peluang', 'tingkat', 'sektor', 'rumah', 'rakyat']",4,1
19,21, ppn  pbb  stnk  jalan rusak  lah terus punya pemerintah untuk apaa korupsi jalan terus pajak naik terus sembako naik terus hadehh yukk masuk kuburan bareng  ,ppn pbb stnk jalan rusak lah terus punya pemerintah untuk apaa korupsi jalan terus pajak naik terus sembilan bahan pokok naik terus aduh yukk masuk kuburan bareng,"['ppn', 'pbb', 'stnk', 'jalan', 'rusak', 'pemerintah', 'apaa', 'korupsi', 'jalan', 'pajak', 'sembilan', 'bahan', 'pokok', 'aduh', 'yukk', 'masuk', 'kuburan', 'bareng']","['ppn', 'pbb', 'stnk', 'jalan', 'rusak', 'pemerintah', 'apaa', 'korupsi', 'jalan', 'pajak', 'sembilan', 'bahan', 'pokok', 'aduh', 'yukk', 'masuk', 'kuburan', 'bareng']",ppn pbb stnk jalan rusak perintah apaa korupsi jalan pajak sembilan bahan pokok aduh yukk masuk kubur bareng,"['ppn', 'pbb', 'stnk', 'jalan', 'rusak', 'perintah', 'apaa', 'korupsi', 'jalan', 'pajak', 'sembilan', 'bahan', 'pokok', 'aduh', 'yukk', 'masuk', 'kubur', 'bareng']",-12,0
20,22, infrastruktur yang lebih baik berkat ppn  ,infrastruktur yang lebih baik berkat ppn,"['infrastruktur', 'berkat', 'ppn']","['infrastruktur', 'berkat', 'ppn']",infrastruktur berkat ppn,"['infrastruktur', 'berkat', 'ppn']",1,1
21,23, dengan ppn  ekonomi semakin stabil ,dengan ppn ekonomi semakin stabil,"['ppn', 'ekonomi', 'stabil']","['ppn', 'ekonomi', 'stabil']",ppn ekonomi stabil,"['ppn', 'ekonomi', 'stabil']",3,1
22,24,tutup aja semua klub malam sekalian kalo alasannya itu pecat dan adili polisi yang peras turis dong kalo niat jadi waras ,tutup saja semua klub malam sekalian kalau alasannya itu pecat dan adili polisi yang peras turis dong kalau niat jadi waras,"['tutup', 'klub', 'malam', 'alasannya', 'pecat', 'adili', 'polisi', 'peras', 'turis', 'niat', 'waras']","['tutup', 'klub', 'malam', 'alasannya', 'pecat', 'adili', 'polisi', 'peras', 'turis', 'niat', 'waras']",tutup klub malam alas pecat adil polisi peras turis niat waras,"['tutup', 'klub', 'malam', 'alas', 'pecat', 'adil', 'polisi', 'peras', 'turis', 'niat', 'waras']",-8,0
23,25,tapi tiket kjj bulan feb belum bisa dipesen bakalan naik kah walopun  kena ppn  ,tapi tiket kjj bulan febuari belum bisa dipesen bakalan naik kah walopun kena ppn,"['tiket', 'kjj', 'febuari', 'dipesen', 'kah', 'walopun', 'kena', 'ppn']","['tiket', 'kjj', 'febuari', 'dipesen', 'kah', 'walopun', 'kena', 'ppn']",tiket kjj febuari sen kah walopun kena ppn,"['tiket', 'kjj', 'febuari', 'sen', 'kah', 'walopun', 'kena', 'ppn']",-3,0
24,26, ppn  untuk membiayai riset dan pengembangan ,ppn untuk membiayai riset dan pengembangan,"['ppn', 'membiayai', 'riset', 'pengembangan']","['ppn', 'membiayai', 'riset', 'pengembangan']",ppn biaya riset kembang,"['ppn', 'biaya', 'riset', 'kembang']",3,1
25,27, dengan ppn  kita dapat membangun indonesia yang lebih ramah lingkungan ,dengan ppn kita dapat membangun indonesia yang lebih ramah lingkungan,"['ppn', 'membangun', 'indonesia', 'ramah', 'lingkungan']","['ppn', 'membangun', 'indonesia', 'ramah', 'lingkungan']",ppn bangun indonesia ramah lingkung,"['ppn', 'bangun', 'indonesia', 'ramah', 'lingkung']",2,1
26,28, anak kimia yang dosennya pak triyanda  ita nilainya udah pada keluar belum ,anak kimia yang dosennya pak triyanda ita nilainya sudah pada keluar belum,"['anak', 'kimia', 'dosennya', 'triyanda', 'ita', 'nilainya']","['anak', 'kimia', 'dosennya', 'triyanda', 'ita', 'nilainya']",anak kimia dosen triyanda ita nilai,"['anak', 'kimia', 'dosen', 'triyanda', 'ita', 'nilai']",2,1
27,29, makanya ppn   jadi masuk akal banyak umkm  yang begini ,makanya ppn jadi masuk akal banyak umkm yang begini,"['ppn', 'masuk', 'akal', 'umkm']","['ppn', 'masuk', 'akal', 'umkm']",ppn masuk akal umkm,"['ppn', 'masuk', 'akal', 'umkm']",-3,0
28,30,  usah komcad makin kesini makin  sana beresin dulu masalah satu   menyangkut perut rakyat ppn  tuh batalin ,usah komcad makin kesini makin sana membereskan dahulu masalah satu menyangkut perut rakyat ppn tuh membatalkan,"['komcad', 'kesini', 'membereskan', 'perut', 'rakyat', 'ppn', 'tuh', 'membatalkan']","['komcad', 'kesini', 'membereskan', 'perut', 'rakyat', 'ppn', 'tuh', 'membatalkan']",komcad kesini beres perut rakyat ppn tuh batal,"['komcad', 'kesini', 'beres', 'perut', 'rakyat', 'ppn', 'tuh', 'batal']",-2,0
29,31, dengan ppn  pemerintah dapat meningkatkan kualitas perumahan rakyat ,dengan ppn pemerintah dapat meningkatkan kualitas perumahan rakyat,"['ppn', 'pemerintah', 'meningkatkan', 'kualitas', 'perumahan', 'rakyat']","['ppn', 'pemerintah', 'meningkatkan', 'kualitas', 'perumahan', 'rakyat']",ppn perintah tingkat kualitas rumah rakyat,"['ppn', 'perintah', 'tingkat', 'kualitas', 'rumah', 'rakyat']",8,1
30,32, ppn  mendukung pembangunan ekonomi yang lebih ramah lingkungan ,ppn mendukung pembangunan ekonomi yang lebih ramah lingkungan,"['ppn', 'mendukung', 'pembangunan', 'ekonomi', 'ramah', 'lingkungan']","['ppn', 'mendukung', 'pembangunan', 'ekonomi', 'ramah', 'lingkungan']",ppn dukung bangun ekonomi ramah lingkung,"['ppn', 'dukung', 'bangun', 'ekonomi', 'ramah', 'lingkung']",6,1
31,34, makanya batalkan ppn  jangan cuma omon jatuhnya anda lama jadi orang munafik ,makanya batalkan ppn jangan cuma omon jatuhnya anda lama jadi orang munafik,"['batalkan', 'ppn', 'omon', 'jatuhnya', 'orang', 'munafik']","['batalkan', 'ppn', 'omon', 'jatuhnya', 'orang', 'munafik']",batal ppn omon jatuh orang munafik,"['batal', 'ppn', 'omon', 'jatuh', 'orang', 'munafik']",-7,0
32,35, ppn  mendorong inovasi sektor publik ,ppn mendorong inovasi sektor publik,"['ppn', 'mendorong', 'inovasi', 'sektor', 'publik']","['ppn', 'mendorong', 'inovasi', 'sektor', 'publik']",ppn dorong inovasi sektor publik,"['ppn', 'dorong', 'inovasi', 'sektor', 'publik']",4,1
33,36, anjir kelas gini ham,anjir kelas begini ham,"['anjir', 'kelas', 'ham']","['anjir', 'kelas', 'ham']",anjir kelas ham,"['anjir', 'kelas', 'ham']",-5,0
34,37,begini penghitungan ppn  top   money ,begini penghitungan ppn top money,"['penghitungan', 'ppn', 'top', 'money']","['penghitungan', 'ppn', 'top', 'money']",hitung ppn top money,"['hitung', 'ppn', 'top', 'money']",6,1
35,38, ppn  mendukung pengembangan kawasan terpencil ,ppn mendukung pengembangan kawasan terpencil,"['ppn', 'mendukung', 'pengembangan', 'kawasan', 'terpencil']","['ppn', 'mendukung', 'pengembangan', 'kawasan', 'terpencil']",ppn dukung kembang kawasan pencil,"['ppn', 'dukung', 'kembang', 'kawasan', 'pencil']",7,1
36,39, kenaikan ppn  membantu mengembangkan sektor energi terbarukan ,kenaikan ppn membantu mengembangkan sektor energi terbarukan,"['kenaikan', 'ppn', 'membantu', 'mengembangkan', 'sektor', 'energi', 'terbarukan']","['kenaikan', 'ppn', 'membantu', 'mengembangkan', 'sektor', 'energi', 'terbarukan']",naik ppn bantu kembang sektor energi baru,"['naik', 'ppn', 'bantu', 'kembang', 'sektor', 'energi', 'baru']",6,1
37,41, batalkan ppn  itu baru presiden beneran bukan kacung mulyono,batalkan ppn itu baru presiden benaran bukan kacung mulyono,"['batalkan', 'ppn', 'presiden', 'benaran', 'kacung', 'mulyono']","['batalkan', 'ppn', 'presiden', 'benaran', 'kacung', 'mulyono']",batal ppn presiden benar kacung mulyono,"['batal', 'ppn', 'presiden', 'benar', 'kacung', 'mulyono']",-4,0
38,42,daripada menaikkan ppn  cuma dapat   bagaimana kalau mereka yang mengemplang pajak sawit ditarik pajaknya malah bisa dapat   lho ,daripada menaikkan ppn cuma dapat bagaimana kalau mereka yang mengemplang pajak sawit ditarik pajaknya bahkan bisa dapat loh,"['menaikkan', 'ppn', 'mengemplang', 'pajak', 'sawit', 'ditarik', 'pajaknya', 'loh']","['menaikkan', 'ppn', 'mengemplang', 'pajak', 'sawit', 'ditarik', 'pajaknya', 'loh']",naik ppn kemplang pajak sawit tarik pajak loh,"['naik', 'ppn', 'kemplang', 'pajak', 'sawit', 'tarik', 'pajak', 'loh']",-8,0
39,43, ppn  untuk menciptakan pemerintahan yang lebih efisien dan transparan ,ppn untuk menciptakan pemerintahan yang lebih efisien dan transparan,"['ppn', 'menciptakan', 'pemerintahan', 'efisien', 'transparan']","['ppn', 'menciptakan', 'pemerintahan', 'efisien', 'transparan']",ppn cipta perintah efisien transparan,"['ppn', 'cipta', 'perintah', 'efisien', 'transparan']",7,1
40,44, gol   bngga dgn pilihanny  menang dan merasa  bakal kena kesulitan ekonomi karena ppn   ,gol bngga dengan pilihanny menang dan merasa bakal kena kesulitan ekonomi karena ppn,"['gol', 'bngga', 'pilihanny', 'menang', 'kena', 'kesulitan', 'ekonomi', 'ppn']","['gol', 'bngga', 'pilihanny', 'menang', 'kena', 'kesulitan', 'ekonomi', 'ppn']",gol bngga pilihanny menang kena sulit ekonomi ppn,"['gol', 'bngga', 'pilihanny', 'menang', 'kena', 'sulit', 'ekonomi', 'ppn']",-1,0
41,46,soal pro kontra kenaikan ppn  jokowi dukung keputusan pemerintah ,soal pro kontra kenaikan ppn jokowi dukung keputusan pemerintah,"['pro', 'kontra', 'kenaikan', 'ppn', 'jokowi', 'dukung', 'keputusan', 'pemerintah']","['pro', 'kontra', 'kenaikan', 'ppn', 'jokowi', 'dukung', 'keputusan', 'pemerintah']",pro kontra naik ppn jokowi dukung putus perintah,"['pro', 'kontra', 'naik', 'ppn', 'jokowi', 'dukung', 'putus', 'perintah']",3,1
